
Host: Adam-PC

DIISManager::extrapolate: form new data:       0.00u       0.00s   0.000619w     11 calls
HF: Form G  :       0.00u       0.00s   0.000272w      9 calls
PK computes JK:       0.00u       0.00s   0.000082w      9 calls
HF: Form F  :       0.00u       0.00s   0.000029w      9 calls
HF: DIIS    :       0.00u       0.00s   0.004660w      9 calls
HF: Form C  :       0.00u       0.00s   0.000273w      9 calls
HF: Form D  :       0.00u       0.00s   0.000016w      9 calls

***********************************************************

Host: Adam-PC

Timers On : Fri Sep 15 15:09:42 2017
Timers Off: Fri Sep 15 15:09:43 2017

Wall Time:        1.00 seconds

Total PK formation time:       0.02u       0.00s 0.02143700w      1 call
HF: Form H  :       0.00u       0.01s 0.00434000w      1 call
HF: Form S/X:       0.00u       0.00s 0.00017600w      1 call
HF: Guess   :       0.05u       0.02s 0.07554500w      1 call
SAD Guess   :       0.05u       0.02s 0.07343900w      1 call
JK: (A|mn)  :       0.00u       0.00s   0.000309w      2 calls
JK: (A|Q)^-1/2:       0.03u       0.02s   0.027536w      2 calls
JK: (Q|mn)  :       0.00u       0.00s   0.000011w      2 calls
JK: D       :       0.00u       0.00s   0.000057w     13 calls
JK: USO2AO  :       0.00u       0.00s   0.000051w     13 calls
JK: JK      :       0.00u       0.00s   0.000278w     13 calls
JK: J       :       0.00u       0.00s   0.000049w      4 calls
JK: J1      :       0.00u       0.00s   0.000019w      8 calls
JK: J2      :       0.00u       0.00s   0.000011w      8 calls
JK: K       :       0.00u       0.00s   0.000070w      4 calls
JK: K1      :       0.00u       0.00s   0.000035w      6 calls
JK: K2      :       0.00u       0.00s   0.000017w      6 calls
JK: AO2USO  :       0.00u       0.00s   0.000013w     13 calls
DIISManager::add_entry:       0.00u       0.00s   0.002790w     12 calls
DIISManager::extrapolate:       0.00u       0.00s   0.001803w     11 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s   0.000935w     11 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000195w     11 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.000612w     11 calls
HF: Form G  :       0.00u       0.00s   0.000269w      9 calls
PK computes JK:       0.00u       0.00s   0.000084w      9 calls
HF: Form F  :       0.00u       0.00s   0.000026w      9 calls
HF: DIIS    :       0.00u       0.00s   0.004596w      9 calls
HF: Form C  :       0.00u       0.00s   0.000265w      9 calls
HF: Form D  :       0.00u       0.00s   0.000018w      9 calls

***********************************************************

Host: Adam-PC

Timers On : Fri Sep 15 15:10:07 2017
Timers Off: Fri Sep 15 15:10:08 2017

